"filename", "language", "JSON", "JavaScript", "TypeScript", "TypeScript React", "HTML", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\index.tsx", "TypeScript React", 0, 0, 0, 70, 0, 0, 0, 0, 9, 79
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\actionNotificationReducer.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\buyingStockReducer.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\firstBuyReducer.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\modeSwitchReducer.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\sidebarReducer.tsx", "TypeScript React", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\userLoggedReducer.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\styles\styles.tsx", "TypeScript React", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\types.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 9, 67
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\tsconfig.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\munbo\0001ft\fso2021-practice-work\index.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 1, 1, 72
"c:\Users\munbo\0001ft\fso2021-practice-work\package-lock.json", "JSON", 8127, 0, 0, 0, 0, 0, 0, 0, 1, 8128
"c:\Users\munbo\0001ft\fso2021-practice-work\package.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 1, 86
"c:\Users\munbo\0001ft\fso2021-practice-work\src\models\stock.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\munbo\0001ft\fso2021-practice-work\src\models\transaction.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\munbo\0001ft\fso2021-practice-work\src\models\user.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\munbo\0001ft\fso2021-practice-work\src\resolvers.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 2, 1, 120
"c:\Users\munbo\0001ft\fso2021-practice-work\src\typeDefs.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Users\munbo\0001ft\fso2021-practice-work\src\types.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"Total", "-", 38673, 369, 1357, 2595, 21, 26, 38, 271, 358, 43708
